,topic_id,turn_id,query,relevance_scores,passage_ids,passages
0,147,2-1,What is Marvel Studios' approach to diversity for people of color?,"[3, 3, 3]","['MARCO_11_840593986-2', 'MARCO_27_1457199454-14', 'MARCO_43_353595745-4']","[""Phase Three was especially crucial for the lead representation of minorities in large Hollywood productions. In 2018, we watched 'Black Panther,' the first film about an African-American superhero that became a worldwide blockbuster, breaking several historical records.  And this year, on March 8th, the story of 'Captain Marvel' finally became a movie, the first from the MCU with a solo female superhero.  After seeing this vital approach to diversity and inclusion, it's logical to wonder if we will soon see a movie with a Latino superhero from Marvel.  The answer is yes.  At least that is what Kevin Feige, CEO of Marvel Studios, said in an interview with EFE.  'Our audience is global, and we want people to identify with our stories, which is the core of our plans for the future,' he said.  And although he did not give many details, the executive did say this possible film could be included in Phase Four of the MCU, which will begin in 2020 and will include the first story of an Asian superhero, Shang-Chi, the 'Master of Kung Fu.'  So, which heroes with Latino heritage could make the leap from comics to the cinema?"", ""Could Marvel bring Blade into the MCU and the vampires that come with him? Could the magical and mystical elements of Doctor Strange be used as the groundwork for introducing Moon Knight?  Or will Marvel opt for someone else entirely ?  Regardless of who Marvel chooses, Phase 4 will surely feature a standalone film for a new character.  5 It will feature more diverse casts than any phase before it One area in which Marvel has received criticism in the past is in its lack of representation of minorities in its films.  Though Samuel L. Jackson's Nick Fury has been a stalwart in the MCU thus far, the Avengers themselves have lacked diversity.  The studio received backlash when it cast Ben Kingsley to play the role of the Mandarin in Iron Man 3 (though it would receive even fiercer backlash when the film's twist revealed his true character to be Trevor Slattery) and again when the role of the Ancient One was filled by Tilda Swinton.  On the topic of diversity, Kevin Feige said 'I think that in the movies we've already made, and certainly in the movies that are coming up, it will be as inclusive a group of characters as one could want.  For us, it's important that we don't feel like a completely white, European cast.'"", ""Journalist Ta-nehisi Coates even took over Black Panther after Secret Wars ended, the Marvel event that shook up the entire universe and changed the status quo a bit. Coates brought in fresh air to the medium for a few reasons: he has a more political background in writing, and he's a black man writing about a black character.  Black Panther played such a pivotal role in Jonathan Hickman's Avengers and Secret Wars that fans were going to flock to the book no matter who was writing it.  It was an excellent move by Marvel to have a person of color writing such a book.  Marvel's determination to hire other non-white male writers continued with the creation of Kamala Khan, the new Ms. Marvel.  Kamala, a teenage muslim girl living in Jersey City, has been called by some the new Peter Parker.  She's awkward and nerdy yet strong and loving.  Writer G. Willow Wilson and editor Sana Amanat, both women of the muslim faith as well, created the character in 2013 and haven't looked back since.  The series has been on the New York Times Bestseller list, a true indication that this is high quality material.  In an interview with Makers, Amanat starts off by noting 'authentic storytelling is powerful.'  Ms. Marvel works because she's well rounded.""]"
1,147,1-1,What do you think is the best Marvel movie?,"[4, 4, 4]","['MARCO_36_932776067-16', 'MARCO_39_1131606148-6', 'MARCO_41_107614308-20']","[""19 of 19 Marvel Studios 1: Black Panther I'm going to be honest, it took me four viewings of ' Black Panther ' before it made it to No. 1. It took me that long to finally realize what a multilayered and brilliant work it is.  Nearly every aspect is top-notch.  Writing, acting, set design, editing and costumes.  But most important are the characters.  You could easily make an awesome Okoye, Shuri, Nakia or M'Baku movie.  It's Erik Killmonger, though, and his effect on T'Challa that truly made this movie sit head and shoulders above the rest.  And I love most of the films on this list!  There's so much richness here.  So much to unpack.  This is Marvel Studios at its most mature.  How ironic that it was its youngest director that brought it to fruition.  Amazing.  Best moment: Killmonger's dream.  This is the best scene in the MCU so far.  Everything about it, from the acting and writing, to the music and editing, even the set design, is perfect."", ""Gal Gadot's brilliant and virtuous take on Wonder Woman is unabashedly itself, showing how powerful the mere will to make the world better really is. Watch Now Captain America: The Winter Soldier If you ask this intrepid writer, Captain America: The Winter Soldier is pound for pound, beat for beat, the best film in the MCU.  The Russo Brothers' superhero debut nails the early MCU's all-high-stakes action, while mixing in some of the humor that would come later on.  We salute you, Cap.  Watch Now Batman Returns If we're being honest, any collection of the best supehero movies out there is incomplete without the Tim Burton/Michael Keaton spin on Batman.  Zany, slick, and goth as hell, Batman Returns unexpectedly became a key film in the genre's coming of age.  Watch Now Logan Hugh Jackman played Wolverine for 17 years.  Seventeen years!  That's a lot of push-ups.  That said, it's a wonder that his final turn as the hero, Logan, is by far his best as the character—showing the rare portrait of a superhero left battered from a life lived saving others."", ""Infinity War manages to be emotionally powerful and incredibly funny (often in the same scene), its scale and scope are mind-bogglingly vast, and the crossover character interactions are unexpected and fun. Perhaps, most importantly, Marvel solves its villain problem in spectacular style, with Josh Brolin's Thanos being both the driving force of the movie and a plausible bad guy – his grand plan is clearly deranged, but there's a weird, twisted logic to it.  And without Infinity War there could be no Endgame.  1.  Captain America: The Winter Soldier (2014)  Here it is.  The best Marvel movie.  The Winter Soldier set a new precedent for the MCU.  The Captain America sequel is a totally different take on the universe – a '70s Cold War thriller that doesn't put a foot wrong.  Hell, The Winter Soldier should be named one of the best Marvel movies of all time for the elevator scene alone; a moment so memorable it was homaged in Avengers: Endgame.  The movie also has far-reaching implications for the rest of the Marvel universe – such as that SHIELD reveal – and establishes the resurrected Bucky Barnes as a major piece in the puzzle for years to come.""]"
2,143,1-1,"I hear a lot about banking innovation, but what is Open Banking regulation?","[3, 3, 3]","['KILT_42423740-1', 'MARCO_32_1186259104-2', 'MARCO_44_737771076-2']","['Open banking  Open banking is a financial services term as part of financial technology that refers to:  BULLET::::1.  The use of open APIs that enable third-party developers to build applications and services around the financial institution.   BULLET::::2.  Greater financial transparency options for account holders ranging from open data to private data.   BULLET::::3.  The use of open-source technology to achieve the above.   Open banking, as a concept could be considered as a subspecies to the open innovation concept, a term promoted by Henry Chesbrough.  It is linked to shifts in attitudes towards the issue of data ownership illustrated by regulations such as GDPR and concepts such as the Open Data movement.   Section::::History.   In October 2015, the European Parliament adopted a revised Payment Services Directive, known as PSD2.  The new rules included aims to promote the development and use of innovative online and mobile payments through open banking.   In August 2016, the United Kingdom Competition and Markets Authority (CMA) issued a ruling that required the nine-biggest UK banks - HSBC, Barclays, RBS, Santander, Bank of Ireland, Allied Irish Bank, Danske Bank, Lloyds and Nationwide - to allow licensed startups direct access to their data down to the level of transaction-account transactions.', ""As users consent to share their personal financial data, banking institutions can distribute information via open application programming interfaces, or APIs for short, allowing third parties to leverage this data and create personalized services with a seamless user experience. For instance, users can integrate their existing bank accounts with third-party apps to conveniently track their expenses and follow their individual savings plans.  As we mentioned, the technology behind open banking is using APIs.  An API is a set of functions which allow for sharing data and requests between systems, usually, in a controlled, secure manner.  There are three types of APIs currently applied in finance: Internal APIs used for sharing data across internal systems and users.  Private APIs that let banks exchange data with their partners.  Open APIs (public APIs) that allow for sharing data with a wide group of users while providing limited access to information.  Source: McKinsey The open banking concept gained significant popularity after 2015 when the European Parliament adopted a new payment services directive known as PSD2.  It obligates EU banks and the 9 largest banks in the UK to provide developers with access to customer data via open APIs.  However, the general idea isn't anything new.  Such providers as Mint, Personal Capital, and Numbrs had been leveraging data from customer bank accounts before PSD2."", ""Understanding Open Banking Under open banking, banks allow access and control of customers personal and financial data to third-party service providers, which are typically tech startups and online financial service vendors. Customers are normally required to grant some kind of consent to let the bank allow such access, such as checking a box on a terms-of-service screen in an online app.  Third-party providers APIs can then use the customer's shared data (and data about the customer's financial counterparties).  Uses might include comparing the customer's accounts and transaction history to a range of financial service options, aggregating data across participating financial institutions and customers to create marketing profiles, or making new transactions and account changes on the customer's behalf.  The Promise of Open Banking Open banking is a driving force of innovation in the banking industry.  By relying on networks instead of centralization, open banking can help financial services customers to securely share their financial data with other financial institutions.  For example, open banking APIs can facilitate the sometimes onerous process of switching from using one bank's checking account service to another bank's.""]"
3,143,1-5,Does Open Banking exist in the United States?,"[3, 3, 3]","['MARCO_59_690617273-16', 'MARCO_59_690617273-17', 'MARCO_59_690617273-3']","['Banks may want to choose partner institutions that have already engendered a lot of customer trust, including other banks. Banks should also work with regulators to foster common industry standards for APIs.  They should ensure that other regulations related to data security or customer privacy do not inhibit the development and growth of a market-driven open banking approach.  US banks should be selective in their open banking strategies As highlighted in other publications by Deloitte, 16 open banking seems here to stay and is quickly gaining ground outside the United States.  More and more consumers are taking advantage of open banking developments in the United Kingdom and Europe, 17 and progress has been made on technical standards.  While it may be premature for leaders from these banks to point to open banking as a key driver of innovation and competitive advantage, the foundation has been set.  In the United States, on the other hand, open banking is in the early stages, which presents an unprecedented opportunity, especially for early adopters.  Here, open banking, along with the broader digital transformation journey that many banks around the world have taken, can help enable the shift from a product mindset to a singular focus on serving customer needs.', ""US banks can use open banking to recalibrate customer relationships by giving customers control of their data and helping them more easily and confidently engage with third parties for a variety of services. Shifting to open banking may require banks to partner with a broader ecosystem of providers, but banks can still stay at the center of customers' financial lives by remaining trusted advisers in these arrangements.  How US banks respond to the open banking wave could inform and shape their digital transformation strategies as well.  By inserting customers at the heart of the transformation in open banking and beyond, banks can build trust and ensure they remain in a position of strength.  However, there are still some uncertainties about the scale and pace of adoption of open banking in the United States.  Should banks fully embrace open banking and accelerate their adoption, or should they be more selective in choosing where to play, or perhaps even wait to see what happens before making a choice?  Each approach has its pros and cons (figure 8).  Going 'all-in' may yield a first-mover advantage, but exposing the institution to open banking on all fronts, for all products, customer groups, and with all types of third parties all at once may increase some risks."", ""Here are some key factors US bank leaders can consider when developing their open banking approaches. Key messages In the United States, open banking is expected to evolve as an industry-driven initiative, unlike other countries, where regulatory mandates are forcing many banks to adopt open banking.  However, US banks can benefit from lessons learned in these regions, such as how to establish technical and customer experience standards for data-sharing/APIs.  If done well, open banking can help US banks achieve key strategic goals.  Open banking can amplify and accelerate banks' digital transformation efforts and the emergence of new business models.  So far, attitudes toward open banking in the United States appear to be mixed.  Our consumer survey revealed one in five consumers in the United States find open banking valuable, 1 but the interest is higher among millennials and the Gen Z generation.  This suggests US banks should target younger generations in their initial open banking initiatives.  But consumers also expressed some concerns, especially about privacy, and the security and use of personal data.  This seems to point to a need for banks to educate consumers about the benefits of open banking.  The question, 'Who owns my data?' is at the heart of how receptive consumers may be about open banking.""]"
4,133,1-1,I'd like to appreciate my mum by making her a beauty pamper pack. What do you put in one?,"[4, 4, 3]","['MARCO_20_570989692-3', 'MARCO_51_1542142755-2', 'MARCO_23_1600238475-4']","[""For an Ultimate Pampering Mothers Day Gift Basket, gather up any items that would make bath-time a pampering and relaxing experience. Think of how you couple recreate a spa-like ambiance at home.  In keeping with the vanilla theme, the tru mélange candle fit right it, a pumice stone and wooden brush matched as well as a bar of exfoliating and softening oatmeal soap, while being a perfect fit for a sublime bath time.  In the bath department, we also added in the before mentioned beautiful containers of body scrub, body wash and body lotion.  Next, it was time to add in a few extra treats.  Chocolates are always on my list for a pampering experience and while shopping at Sprouts for this gift basket, I picked up a couple containers of various chocolates and divided them into mason jars… because I just think anything in a mason jar is cute!  You could use pretty goodie bags or other gifting containers and add ribbon, tags, etc. Don't forget something to drink!  Mom's favorite tea, coffee or wine makes a great pairing for a night of pampering.  Rosé is not only a top choice, it's also a beautiful one!  This bottle of Gérard Bertrand Coté des Roses was stunning and I knew the bottle could even be reused later on."", ""I love Mother's day, don't you? All moms deserve a bit of pampering for Mother's Day, so this year I decided to put together a little something for all the Moms in the family.  One of my favorite gifts to give for this type of occasion is gift baskets.  Gift Baskets are a great gift option for when you need to put together multiple items or want to personalize the gift for a specific recipient or theme.  Plus I just love being able to pick and choose my favorite goodies to include.  Since this gift basket is for Mother's Day, I went with the theme of 'pampering' and selected just a few of my favorite at-home pampering and beauty products to give.  I especially love the eos line of lip balms and lotions, and I wanted to make sure to include a few items from their Limited Edition Spring Packs in my basket.  To round out the basket, I included a few other pampering products in coordinating, brightly colored packaging.  Disclosure: This post may contain affiliate links.  Are You Ready to Sew Your Own Fabric Gift Basket?  These little fabric baskets can be sewn to any size and with any fabric to fit your gift or theme."", ""Get a gift certificate for a spa with luxury to spoil her ever need. Make a spa in a box.  Get everything she would need to pamper herself.  You could include things like a nice plush towel, housecoat, bubble bath, body wash, bath salts, inflatable bath pillow, candles, face mask kits, sponges or loofas, foot massager with salts for it, etc. Plan a home-cooked meal, like it was catered to her.  And make sure she doesn't lift a finger!  (and that includes chores)  Other 50th Birthday Gifts There are also many other things you can give mom as a 50th birthday gift.  Gift certificates for her favorite stores or restaurants.  Jar of wishes, filled with $1 and $2 coins – she can use this for whatever she likes – coffee, treats, bingo, etc.  Mom keepsakes – things like the statues or poems dedicated to moms.  Hallmark and places like that sell a lot of different items that are dedicated to moms.  Cookbook stands, or recipe boxes for all mom's secret recipes.  If you can get hold of all mom's best recipes you can make a recipe book filled with the 'Kid's Favorites'.  See how many great 50th birthday gifts you can easily choose from?""]"
5,133,1-3,Can I make the beauty products at home?,"[4, 4, 4]","['MARCO_13_684840871-2', 'MARCO_13_684840871-5', 'MARCO_23_34363864-2']","[""So pick your favorites and feel pampered! Mother's Day Home Spa Every mom loves some pampering and what fun to create a special spa experience for her without breaking the bank.  I really think kids feel such a sense of pride and gratification when they can do something for their mom by themselves and surprise her too ( Dads, are you listening?! ).  Any of these fun ideas will make for a special day to remember and even if you aren't a mom, these are great options for your own beauty regimen.  They are things I've learned about over the years from natural facialists or massage therapists that remind one that expensive products are not the only way to get a great beauty result or some relaxation!  DIY Home Spa Day Treatments Honey Facial Honey is naturally anti-bacterial and gentle to the skin making it a wonderful cleanser or nourishing mask.  How to Apply: Apply 1-2 teaspoons of honey to a clean face and allow to sit on the skin for 10 minutes.  Moisten fingertips and rub in a gentle circular motion to help exfoliate the skin.  Allow the honey to sit 5 additional minutes and wash off with a clean washcloth.  Coconut Oil Hand Treatment Coconut Oil is a wonderful oil to add to foods and for the body."", ""Rinse thoroughly with luke warm water. Homemade Face Masks Face masks are easy to make with foods that really produce results!  Facials at home are easy and fun.  Banana Honey Yogurt Face Mask What you'll need: 1 banana (ripe so it's soft but not spotted), some honey, and yogurt.  In a bowl mash the banana, then mix with a little bit of honey and a little bit of yogurt.  Apply to the face and allow to sit.  Strawberry Honey Mint Face Mask This homemade facial mask helps tone, moisturize, and cleanse the skin.  What you'll need: 3-4 large strawberries 1/4 cup of honey 3 mint leaves, chopped or torn Mash the strawberries in a bowl.  Add the honey and mint leaves and mash together with a fork.  Apply to clean skin and allow to sit 10-20 minutes.  Rinse with cool water and pat skin dry.  Cucumber Mint Face Mask Cooling cucumber is especially nice in the hotter months.  Their naturally high moisture content and soothing aroma deliver relaxation.  What you need: 1 cucumber, peeled 3-4 fresh mint leaves 2-3 tablespoons plain yogurt 1 egg white, beaten Combine the cucumber, mint leaves and yogurt in the blender and puree.  Stir in the egg white."", 'If you have never taken the time to consider what your beauty products are made of, I am confident that browsing through the pages at Skin Deep will inspire you to do so. It may also inspire you to begin making your own beauty products at home.  Why should I spend the time making beauty products at home?  1.  Making beauty products at home will provide you with the safest and most personalized products possible.  Only you know exactly what your skin issues are.  Maybe you are dealing with early signs of aging, have dry or sensitive skin.  Natural ingredients are always the better alternative to chemicals.  Making your own beauty products means customized products that meet your personal needs.  2  .  Making beauty products at home is very frugal.  It is estimated that the average American family spends $2,000 annually on hygiene items.  Homemade beauty products require fewer ingredients and tend to last longer than store bought.  3.  Homemade beauty products make great gifts.  Homemade gifts are always more personal and a practical way to live a more sustainable lifestyle!  4.  Homemade beauty products are free of toxins and harmful substances.  According to the EWG, only 11 percent of cosmetic ingredients have been tested for safety by the cosmetic industry.  That is just scary.']"
6,132,2-13,How are the Kyoto Protocol and Paris Agreement different?,"[4, 3, 3]","['MARCO_48_1251187189-20', 'KILT_54199706-3', 'MARCO_18_1270013948-13']","[""Kyoto Protocol versus the Paris Agreement While the Kyoto Protocol and Paris Agreement both set out to address climate change, there are some key differences between them. Unlike the Kyoto Protocol, which established top-down legally binding emissions reduction targets (as well as penalties for noncompliance) for developed nations only, the Paris Agreement requires that all countries—rich, poor, developed, and developing—do their part and slash greenhouse gas emissions.  To that end, greater flexibility and national ownership is built into the Paris Agreement: No language is included about the commitments countries should make; nations can set their own emissions targets (NDCs) consistent with their level of development and technological advancement.  While the Paris Agreement doesn't have harsh penalties for countries not meeting their targets, it does have a robust system of monitoring, reporting, and reassessing individual and collective country targets over time in order to move the world closer to the broader objectives of the deal.  And the agreement sets forth a requirement for countries to announce their next round of targets every five years—unlike the Kyoto Protocol, which aimed for that objective but didn't include a specific requirement to achieve it."", ""The main aim of the Agreement is to hold the increase in the global average temperature to well below 2 °C above pre-industrial levels', predominantly by reducing greenhouse gas emissions. The agreement differs from the 1997 Kyoto Protocol, the last widely adopted amendment to the UNFCCC, in that no annexes are established to lessen responsibility of developing nations.  Rather, emissions targets for each nation were separately negotiated and are to be voluntarily enforced, leading United States officials to regard the Paris Agreement as an executive agreement rather than a legally binding treaty.  This removed the requirement for the United States Congress to ratify the agreement.  In April 2016, the United States became a signatory to the Paris Agreement, and accepted it by executive order in September 2016.  President Obama committed the United States to contributing US$3 billion to the Green Climate Fund.  The Fund has set itself a goal of raising $100 billion a year by 2020.   Article 28 of the agreement enables parties to withdraw from the agreement after sending a withdrawal notification to the depositary, but notice can be given no earlier than three years after the agreement goes into force for the country.  Withdrawal is effective one year after the depositary is notified."", ""The study showed that all countries would need to accelerate the implementation of policies for renewable technologies, while efficiency improvements are especially important in emerging countries and fossil-fuel-dependent countries. Structure The Paris Agreement has a 'bottom up' structure in contrast to most international environmental law treaties, which are 'top down', characterized by standards and targets set internationally, for states to implement.  Unlike its predecessor, the Kyoto Protocol, which sets commitment targets that have legal force, the Paris Agreement, with its emphasis on consensus building, allows for voluntary and nationally determined targets.  The specific climate goals are thus politically encouraged, rather than legally bound.  Only the processes governing the reporting and review of these goals are mandated under international law.  This structure is especially notable for the United States—because there are no legal mitigation or finance targets, the agreement is considered an 'executive agreement rather than a treaty'.  Because the UNFCCC treaty of 1992 received the consent of the US Senate, this new agreement does not require further legislation from Congress.  Another key difference between the Paris Agreement and the Kyoto Protocol is their scope.  While the Kyoto Protocol differentiated between Annex-1 and non-Annex-1 countries, this division is blurred in the Paris Agreement, as all parties are required to submit emissions reductions plans.""]"
7,132,1-1,"I remember Glasgow hosting COP26 last year, but unfortunately I was out of the loop. What was the conference about?","[4, 3, 3]","['MARCO_56_506900502-5', 'MARCO_16_3117875026-1', 'WAPO_7X7AWMCHIQI6VENLZZBZVJOHYE-1']","['The initial pledges of 2015 are insufficient to meet the target, and governments are expected to review and increase these pledges as a key objective this year, 2021. The updated Paris Agreement commitments will be reviewed at the climate change conference known as COP 26 in Glasgow, UK in November 2021.  This conference will be the most important intergovernmental meeting on the climate crisis since the Paris agreement was passed in 2015.  The success or otherwise of this conference will have stark consequences for the world.  If countries cannot agree on sufficient pledges, in another 5 years, the emissions reduction necessary will leap to a near-impossible 15.5% every year.  The unlikelihood of achieving this far steeper rate of decarbonization means the world faces a global temperature increase that will rise above 1.5°C.  Every fraction of additional warming above 1.5°C will bring worsening impacts, threatening lives, food sources, livelihoods and economies worldwide.  Countries are not on track to fulfill the promises they have made.  Increased commitments can take many forms but overall they must serve to shift countries and economies onto a path of decarbonization, setting targets for net-zero carbon, and timelines of how to reach that target, most typically through a rapid acceleration of energy sourced from renewables and rapid deceleration of fossil fuel dependency.', ""2021 United Nations Climate Change Conference - Wikipedia 2021 United Nations Climate Change Conference From Wikipedia, the free encyclopedia (Redirected from COP26) Jump to navigation Jump to search 2021 United Nations Climate Change Conference  Date 1 – 12 November 2021 Venue SEC Centre Location Glasgow, Scotland, UK Organized by United Kingdom and Italy Participants UNFCCC member countries President Alok Sharma Previous event Madrid 2019 Website www .ukcop26 .org  The 2021 United Nations Climate Change Conference, also known as COP26, is the 26th United Nations Climate Change conference.  It is scheduled to be held in the city of Glasgow from 1 to 12 November 2021 under the presidency of the United Kingdom.  The conference is set to incorporate the 26th Conference of the Parties to the United Nations Framework Convention on Climate Change (UNFCCC), the 16th meeting of the parties to the Kyoto Protocol ( CMP16 ), and the third meeting of the parties to the Paris Agreement ( CMA3 ).  This conference is the first time that Parties are expected to commit to enhanced ambition since COP21.  Parties are required to carry out every five years, as outlined in the Paris Agreement, a process colloquially known as the 'ratchet mechanism'.  The venue for the conference is the SEC Centre in Glasgow."", ""LONDON — British Prime Minister Boris Johnson began a 'year of climate action' on Tuesday, hours after the former president of the U.N. climate conference said the British leader doesn't 'get' climate change.  The United Kingdom will hold a major international climate summit in Glasgow in November — considered the most significant gathering of world leaders since the 2015 climate meeting in Paris — and Britain is keen to strengthen its claim to leadership in the area, especially as it prepares for its place on the world stage post-Brexit.  Johnson officially began COP26, as the climate talks are known, at London's Science Museum on Tuesday.  Appearing alongside revered British naturalist David Attenborough, the prime minister declared that Britain, as the 'first country to industrialize,' has a 'responsibility to lead the way.'  Johnson urged other countries to match Britain's pledge — made by his predecessor Theresa May last year — to cut greenhouse gas emissions to net zero by 2050.  He also announced that Britain will ban new gas, diesel and hybrid cars by 2035, cutting the current target of 2040 by five years.  Other countries, such as Germany, Ireland and the Netherlands, are banning fossil fuel vehicles by 2030.  Britain's car industry questioned whether the goal is achievable.""]"
8,140,4-2,"Well, tell me about Nigerian food.","[4, 4, 4]","['KILT_13583474-4', 'MARCO_18_798247652-1', 'MARCO_30_1029169387-9']","[""BULLET::::- Gbegiri is a bean-based stew from southwest Nigeria.  BULLET::::- Pepper soup is a light soup made from a mix of meat and fish with herbs and spices. This is one of the few soups in Nigerian cuisine that can be eaten alone and is not used as a sauce for a carbohydrate main dish such as fufu or pounded yam.  It can also be made with nutmeg and chili peppers.  It can be garnished with fish, beef, goat meat or chicken.  Peppersoup is often an appetizer at official gatherings however, it is consumed also in the evening at pubs and social gatherings.   BULLET::::- Afang is a vegetable soup which originated with the Efik people, Ibibio people and Ananng people in the southeast of Nigeria.  BULLET::::- Corn soup, also known locally as 'omi ukpoka', is made with ground dry corn and blended with smoked fish.  It is a common food of the Afemai, especially people from Agenebode in northern Edo state.   BULLET::::- Draw soup (or 'okoroenyeribe') is made from okra or ogbono seeds cooked until they thicken.   BULLET::::- Atama Soup- a palm kernel soup  BULLET::::- Efo riro/Efo elegusi, a stew made from leafy vegetables and is common among the Yorubas."", 'Nigerian cuisine - Wikipedia Nigerian cuisine From Wikipedia, the free encyclopedia Jump to navigation Jump to search Culinary traditions of Nigeria Varieties of suya Location of Nigeria A yam pottage/ porridge dish Nigerian cuisine consists of dishes or food items from the hundreds of ethnic groups that comprise Nigeria.  Like other West African cuisines, it uses spices and herbs with palm or groundnut oil to create deeply flavored sauces and soups .  Nigerian feasts are colourful and lavish, while aromatic market and roadside snacks cooked on barbecues or fried in oil are in abundance and varied.  Bushmeat is also consumed in Nigeria.  The brush-tailed porcupine and cane rats are the most popular bushmeat species in Nigeria.  Tropical fruits such as pineapple, coconut, banana, and mango are mostly consumed in Nigeria.  Nigerian cuisine like many West African cuisines is known for being spicy.  Contents 1 Entrees 1.1 Rice-Based 1.2 Bean-based 2 Meat 3 Soups and stews 4 Side dishes 5 Puddings, pastes and porridges 5.1 Yam-based 5.2 Cassava-based 6 Breakfast 7 Snacks 8 Beverages 9 See also 10 References 11 External links Entrees Rice-Based Coconut rice is rice made with coconut milk.  Jollof rice is a rice dish made with pureed tomato and scotch bonnet -based sauce.', ""Try Some Nigerian Food Confession time: I'm a vegetarian, which means I'm about the worst blogger to tell you about the best foods to try in Nigeria. But suya, a spicy skewer typically made of beef, chicken, or ram (yes, ram!), is clearly hugely popular with the locals and a must try for any carnivorous visitor to Lagos.  As my friend Ademola is fond of saying, 'Suya is life.'  You can find it being hawked by vendors all over the city, but Ademola swears the best suya spot in Lagos is the Glover Court Suya Spot.  Other popular Nigerian foods to try include jollof rice, akara (deep fried bean cakes), dodo (fried plantain), and puff-puff (fried sweet donut-like balls). 10.  Visit the Makoko Floating Village Just outside of the flashy wealth of Lagos Island you'll find the severely economically challenged community of Makoko, which is by some definitions the largest floating slum in the world.  Definitely the most eye-opening thing to do in Lagos, you'll witness a hugely marginalized but remarkably resilient community that subsists off the ocean and its own will power.""]"
9,140,3-1,What's another place worth visiting in Nigeria aside from Calabar?,"[4, 4, 4]","['KILT_26041112-3', 'MARCO_08_823639828-6', 'MARCO_25_227869196-5']","[""Living Faith Church (AKA Winners Chapel International) started in Kaduna but moved to Lagos, the former capital of Nigeria in July 1989, to start a new branch of the church after Oyedepo claimed to have received instructions from God to reach out to the people of Lagos.  Oyedepo is the wealthiest preacher in Nigeria with a net worth of over US$150 million.  The church owns four private jets and several buildings, including in London and the US.  Oyedepo is an author and publisher who has written over 70 titles apart from periodicals.  He is the chairman/publisher of Dominion Publishing House (DPH), a publishing arm of the ministry.  DPH has over 4 million prints in circulation to date.  Through Oyedepo; Covenant University, Faith Academy and Kingdom Heritage Model Schools have been established to equip the youth for global impact.  The construction of a third university named Crown University is already underway, located in Calabar, Cross Rivers, Nigeria.  Section::::Place of worship.   Oyedepo, in 1998 he was instructed by God to build a new base for the Commission to accommodate the increasing number of worshippers.  This resulted in Oyedepo's church's acquisition of the initial facility, known as Canaanland, which serves as the headquarters."", 'The Mbari Cultural Centre is an open air museum and found in Ikenegbu layout Owerri and at Eke-Nguru in Aboh Mbaise. Oguta Lake Holiday Complex The holiday complex situates in Oguta local government Area of Imo State about 40km (forty kilometres) away from Owerri, the Capital of Imo State.  The lake is qf fresh water and the second largest natural lake in thecountry after lake Chad.  To complement the complex water-based recreation services, there are other interesting attractions to watch.  These include: (a) Golf Course with 18 standard international holes.  (b) Relic of war (mini bunker) constructed by the defunct Biafran Navy during Civic war.  (c) Natural confluence of Oguta Lake and Urashi River.  (d) Cruise boat services.  (e) Golf Club Bar House/Oguta Lake Motel for refreshment, lodging and feeding.  (f)  Mini-children recreation park Birnin Kudu Rock Painting Birnin Kudu town lies in the South of Jigawa State.  Birnin Kudu is noted for the presence of rocks.  Fascinating are the ancient paintings on these rocks.  The different paintings are eloquent information on the styles of the early settlers in the area.', ""The city is located in South-East, Nigeria and watered by the Great Kwa and Calabar rivers. Calabar is also home to other tourist attractions like the Obudu Cattle Ranch and Tinapa Resort.  The city also has international air and sea port.  Calabar also attracts visitors with its wide range of tasty delicacies, beautiful architecture and festivals.  Minna Minna is located in the central part of Nigeria.  The city features some notable tourist sites like the Gurara falls, Baro port (which was used in the colonial days for transport) and the Wushishi Transway engine.  The history of Minna can be traced to when it was used as a labour camp for railway construction which led to development of the town into a major commercial city.  The city tends to have constant electricity because of the closeness of the city to the Kainji Dam Enugu Enugu City is also known as the Coal City.  The city is located in South-East Nigeria and it's the state Capital of Enugu.  The city is known for tourist destinations like the Nike Holiday Resort, Iva Valley (coal mine) and the famous Nmanwu Cultural Festival.  The road network here is well designed with so many state of the art buildings (complexes and malls).""]"
